AISP,RISP,CISPs,Municipios
2,1,2,Rio de Janeiro
3,1,5,Rio de Janeiro
4,1,2,Rio de Janeiro
5,1,4,Rio de Janeiro
6,1,3,Rio de Janeiro
7,4,4,São Gonçalo
8,6,5,Campos dos Goytacazes; São Fidélis; São Francisco de Itabapoana; São João da Barra
9,2,3,Rio de Janeiro
10,5,9,Barra do Piraí; Engenheiro Paulo de Frontin; Mendes; Miguel Pereira; Paty do Alferes; Piraí; Rio das Flores; Valença; Vassouras
11,7,8,Bom Jardim; Cantagalo; Cordeiro; Duas Barras; Macuco; Nova Friburgo; Santa Maria Madalena; Trajano de Moraes
12,4,6,Maricá; Niterói
14,2,2,Rio de Janeiro
15,3,4,Duque de Caxias
16,1,2,Rio de Janeiro
17,1,1,Rio de Janeiro
18,2,3,Rio de Janeiro
19,1,2,Rio de Janeiro
20,3,5,Mesquita; Nilópolis; Nova Iguaçu
21,3,1,São João de Meriti
22,1,1,Rio de Janeiro
23,1,3,Rio de Janeiro
24,3,5,Itaguaí; Japeri; Paracambi; Queimados; Seropédica
25,4,7,Araruama; Armação dos Búzios; Arraial do Cabo; Cabo Frio; Iguaba Grande; Saquarema; São Pedro da Aldeia
26,7,2,Petrópolis
27,2,2,Rio de Janeiro
28,5,4,Barra Mansa; Pinheiral; Rio Claro; Volta Redonda
29,6,9,Bom Jesus de Itabapoana; Cardoso Moreira; Italva; Itaperuna; Laje do Muriaé; Natividade; Porciúncula; São José de Ubá; Varre-Sai
30,7,4,Carmo; Sumidouro; São José do Vale do Rio Preto; Teresópolis
31,2,2,Rio de Janeiro
32,6,6,Carapebus; Casimiro de Abreu; Conceição de Macabú; Macaé; Quissamã; Rio das Ostras
33,5,2,Angra dos Reis; Mangaratiba
34,3,3,Guapimirim; Magé
35,4,5,Cachoeiras de Macacu; Itaboraí; Rio Bonito; Silva Jardim; Tanguá
36,6,6,Aperibé; Cambuci; Itaocara; Miracema; Santo Antônio de Pádua; São Sebastião do Alto
37,5,4,Itatiaia; Porto Real; Quatis; Resende
38,7,5,Areal; Comendador Levy Gasparian; Paraíba do Sul; Sapucaia; Três Rios
39,3,1,Belford Roxo
40,2,1,Rio de Janeiro
41,2,3,Rio de Janeiro
43,5,1,Paraty
