PARTE ELETRÔNICA,,,,,
Equipamento,Modelo,Dimensão,Peso,Valor Estimado,Link 
,,,,,
,,,,,
Cooler Fan,Cooler Fan Ventoinha 120mm,"12 x 12 x 2,5cm",120g,R$ 19,Rise RM-BK-01-FB Fan Individual Black Sem Led 120mm | MercadoLivre
Termostato ,Termostato Sensor Temperatura,48 x 40 14mm,,"R$ 22,48",https://www.mercadolivre.com.br/termostato-sensor-temperatura-w1209--chocadeira-com-manual/up/MLBU1758191192?pdp_filters=item_id%3AMLB844722033#origin%3Dshare%26sid%3Dshare%26wid%3DMLB844722033gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBM3M1MExUMEJGby95T21sbGZnajU0UXFFSDZXNkpNOHpBaGVSZE4zbkZzc296L0xLTHJCQm0ybzlLNmovVWlkOENwOXNwRVNxVVc1WVJtb1lUZ2duZk54T011OHN5bkJPOWlFMlNEYjFOZE9BPT0&gad_source=1&gad_campaignid=20824904861&gbraid=0AAAAACoEtRkWANHqy3ykrDF_618NC3AaB&gclid=EAIaIQobChMI443OqcngjwMVfw9ECB2VQS2sEAQYAyABEgJTfPD_BwE
Amplificador,Placa Amplificador 100w Rms X 2 Canais Tpa3116 D2 12 A 26v,9.17 cm x 6.84 cm,,"R$ 55,94",Placa Amplificador 100w Rms X 2 Canais Tpa3116 D2 12 A 26v | MercadoLivre
Alto falante,Engesig RCM-1000,,,,
Mikrotik ,Mikrotik Hex S Roteador 5x Gigabit Sfp Usb Poe (e60iugs),10 cm x 10 cm x 10 cm,1 kg,"R$ 599,49",Mikrotik Hex S Roteador 5x Gigabit Sfp Usb Poe (e60iugs) | Frete grátis
Fonte, Chaveada 12v 50a 600w,"18 cm x 5 cm x 2,3 cm",140g,R$33,Fonte Chaveada 12v 50a 600w P/ Cftv Fita Led Som Capa Preta | MercadoLivre
Giroflex Giroled,Giroflex Giroled Superled,96mm Altura X 130mm Base X 83mm Topo,,R$123,https://produto.mercadolivre.com.br/MLB-3913494509-giroflex-giroled-super-led-7-efeito-strobo-pisca-im-10v24v-_JM#origin%3Dshare%26sid%3Dshare
Relê Fotocelula,Fotocélula Corujito Qualitronix Qr51,-,,R$72,https://www.mercadolivre.com.br/kit-4-rele-fotocelula-corujito-qualitronix-qr51-facil/p/MLB40288533?pdp_filters=item_id%3AMLB5293147586#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5293147586
Fonte adaptadora para giro ,Fontes Eletrônica 12v 2000 Ma 2a 24w 110-220v Plug P4,,,R24,https://produto.mercadolivre.com.br/MLB-5111060398-kit-2-fontes-eletrnica-12v-2000-ma-2a-24w-110-220v-plug-p4-_JM#origin%3Dshare%26sid%3Dshare
